SMOKE-001-001,1,1,ns_save_string() api 
SMOKE-001-002,1,1,ns_eval_string() 
SMOKE-001-003,1,1,ns_adv_param() 
SMOKE-001-004,1,1,ns_adv_param() fail condition 
SMOKE-001-005,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-006,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-007,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-008,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-009,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-010,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-011,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-012,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-013,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-014,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-015,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-016,1,1,save_data_var or save_data_eval or save_dat_ex api 
SMOKE-001-017,1,1,Smoke_SET_INT_VAL_API_TEST 
SMOKE-001-018,1,1,Smoke_GET_INT_VAL_API_TEST 
SMOKE-001-019,1,1,Smoke_GET_RANDOM_STR_API_TEST 
SMOKE-001-020,1,1,Smoke_GETTERS_API_TEST 
SMOKE-001-021,1,1,Smoke_CHK_STR_CPY_API_TEST 
SMOKE-002-001,1,1,Http authentication basic for apache main param session 
SMOKE-002-002,1,1,Http authentication basic for apache main param use 
SMOKE-002-003,1,1,Http authentication basic for apache for Page Dump 
SMOKE-002-004,1,1,Http authentication basic main with keep alive 
SMOKE-002-005,1,1,Http authentication basic main cvfail without keepalive 
SMOKE-003-001,1,1,Autofetch one main url five autofetch url 
SMOKE-003-002,1,1,Autofetch disabled 
SMOKE-003-003,1,1,Autofetch enabled two embedded url 
SMOKE-003-004,1,1,Autofetch disabled two embedded url 
SMOKE-003-005,1,1,Autofetch Inline Include Domain 
SMOKE-003-006,1,1,Autofetch Inline Exclude Domain 
SMOKE-003-007,1,1,Autofetch Inline Include Url Pattern 
SMOKE-003-008,1,1,Autofetch Inline Exclude Url Pattern 
SMOKE-004-001,1,1,Auto Redirect 10 Depth Server URL and Scenario 2 Depth Redirection 
SMOKE-004-002,1,1,Auto Redirect One Depth Server URL with relative path 
SMOKE-004-003,1,1,Auto Redirect For Different Host Test 
SMOKE-004-004,1,1,Auto Redirect For Relative To Absolute redirection 
SMOKE-004-005,1,1,Auto Redirect For Different Protocol Url 
SMOKE-005-001,1,1,Four URL Test without expiry cookie and cookie mode 1 
SMOKE-005-002,1,1,Four URL Test with expiry cookie and cookie mode 1 
SMOKE-005-003,1,1,Four URL Test with expiry code and cookie mode 1  
SMOKE-005-004,1,1,Two URL Test with command line cookie and cookie mode 1 
SMOKE-006-001,1,1,KeepAlive with percentage 100 
SMOKE-006-002,1,1,KeepAlive with percentage 0 
SMOKE-007-001,1,1,One Url MultiPart With Boundary 
SMOKE-007-002,1,1,One Url MultiPart Without Boundary 
SMOKE-007-003,1,1,One Url MultiPart Nested Boundries 
SMOKE-008-001,1,1,Page think time with constant mode 
SMOKE-008-002,1,1,Page think time with uniform distribution mode 
SMOKE-008-003,1,1,Page think time with internet type distribution mode 
SMOKE-008-004,1,1,Page think time keyword for specific page 
SMOKE-008-005,1,1,Page think time keyword with overide and multiply values 
SMOKE-008-006,1,1,Page think time keyword with overide random percentage values 
SMOKE-009-001,1,1,Search in two main url 
SMOKE-009-002,1,1,Search in two main url with savelength mode 
SMOKE-009-003,1,1,Search for two main url with save length and save offset mode  
SMOKE-009-004,1,1,Search for two main url with save length and save offset mode 
SMOKE-009-005,1,1,Search for two main url with save length and save offset mode in 2 pages 
SMOKE-009-006,1,1,Search for two main url with save length and save offset mode in 2 pages 
SMOKE-009-007,1,1,Checkpoint with two main url check value found 
SMOKE-009-008,1,1,Checkpoint with two main url check value not found 
SMOKE-009-009,1,1,Checkpoint with two main url check value with prefix and suffix found 
SMOKE-009-010,1,1,Checkpoint with two main url check value with prefix and suffix not found 
SMOKE-009-011,1,1,Checkpoint with two main url check value with prefix and suffix found and ActionOnfailContinue 
SMOKE-009-012,1,1,Checkpoint with two main url check value with prefix and suffix not found ActionOnfailStop 
SMOKE-009-013,1,1,Checkpoint with two main url check value with prefix and suffix found comparing from a file 
SMOKE-009-014,1,1,Checkpoint with two main url check value with prefix and suffix not found 
SMOKE-009-015,1,1,File Parameter 5 main url ChangeOnUse 
SMOKE-009-016,1,1,File Parameter 5 main url ChangeOnSession 
SMOKE-009-017,1,1,File Parameter 5 url ModeWeighted 
SMOKE-009-018,1,1,Serach Param for two main url 
SMOKE-009-019,1,1,Search Param for 5 url with single page search savelenght and saveoffset and ORD all 
SMOKE-010-001,1,1,DNS A type query 
SMOKE-010-002,1,1,DNS AAAA type query 
SMOKE-010-003,1,1,DNS MX type query 
SMOKE-010-004,1,1,DNS NS type query 
SMOKE-010-005,1,1,DNS SOA type query 
SMOKE-010-006,1,1,DNS PTR type query 
SMOKE-010-007,1,1,DNS CNAME type query 
SMOKE-010-008,1,1,POP3 testcase 
SMOKE-010-009,1,1,Ftp test for text data and passive mode 
SMOKE-010-010,1,1,Ftp test for binary data and passive mode 
SMOKE-010-011,1,1,Ftp test for text data and active mode 
SMOKE-010-012,1,1,Ftp test for binary data and active mode 
SMOKE-010-013,1,1,SMTP testcase 
SMOKE-010-014,1,1,IMAP test for FETCH HEADER 
SMOKE-010-015,1,1,IMAP test for FETCH TEXT 
SMOKE-010-016,1,1,IMAP test for FETCH BODY 
SMOKE-010-017,1,1,Hessian Protocol version 1.0 Test 
SMOKE-010-018,1,1,Hessian Protocol version 2.0 Test 
SMOKE-011-001,1,1,RBU basic functionalities 
SMOKE-011-002,1,1,RBU basic functionalities 
SMOKE-011-003,1,1,RBU headers for firefox browser 
SMOKE-011-004,1,1,RBU headers for firefox browser 
SMOKE-011-005,1,1,RBU headers for chromium browser 
SMOKE-011-006,1,1,RBU headers for chromium browser 
SMOKE-012-001,1,1,Runlogic functionality for percentage block flow 
SMOKE-012-002,1,1,Runlogic functionality for percentage block flow 
SMOKE-012-003,1,1,Runlogic functionality for percentage block flow 
SMOKE-012-004,1,1,Runlogic functionality for sequencing flows test 
SMOKE-012-005,1,1,Runlogic functionality test for switch case default value test 
SMOKE-012-006,1,1,Runlogic functionality test for switch case value test 
SMOKE-012-007,1,1,Runlogic functionality test for switch case value test 
SMOKE-012-008,1,1,Runlogic functionality test for switch case value test 
SMOKE-012-009,1,1,Runlogic functionality test for switch case default value test 
SMOKE-013-001,1,1,SyncPoint Before FirstTrans 10Users all users release 
SMOKE-013-002,1,1,SyncPoint Before FirstTrans 10Users 5 users release  
SMOKE-013-003,1,1,SyncPoint Before FirstTrans 10Users 20 users release timeout  
SMOKE-013-004,1,1,SyncPoint In Between Transasctions 10 Users all users release 
SMOKE-013-005,1,1,SyncPoint Before First Page 10 Users all users release 
SMOKE-013-006,1,1,SyncPoint In Between Pages 10Users 5users release 
SMOKE-014-001,1,1,NS add header with Main url 
SMOKE-014-002,1,1,NS add header with Embedded url 
SMOKE-014-003,1,1,NS add header with both Main and Embedded urls 
SMOKE-014-004,1,1,NS auto add header with Main urls 
SMOKE-014-005,1,1,NS auto add header with Embedded urls 
SMOKE-014-006,1,1,NS auto add header with Mix Mode urls 
SMOKE-014-007,1,1,NS clean-up header 
SMOKE-014-008,1,1,NS remove auto header 
SMOKE-014-009,1,1,NS add and remove header combined 
SMOKE-015-001,1,1,NetworkCache test for both cacheable and non-cacheable request 
SMOKE-015-002,1,1,NetworkCache test with NetOcean server having default URL 
SMOKE-015-003,1,1,NetworkCache test with NetOcean server having parameterized requests 
